Ticket_ID,Text,Category,Priority
TKT-1045,"Hi, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1046,How do I change my email address?,Account,Low
TKT-1047,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1048,"Just wondering, What are your business hours?",General Query,Low
TKT-1049,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1050,I was overcharged on my last invoice by $260. Please refund.,Billing,Medium
TKT-1051,Please help - I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1052,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1053,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1054,"Hi, My account has been locked. Please unlock it.",Account,High
TKT-1055,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1056,Can you send me the receipt for order #3900?,Billing,Low
TKT-1057,My account has been locked. Please unlock it.,Account,High
TKT-1058,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1059,URGENT: I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,High
TKT-1060,"Just wondering, My account has been locked. Please unlock it.",Account,High
TKT-1061,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1062,"Just wondering, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1063,"Please help - I love your product, just wanted to say thanks!",General Query,Low
TKT-1064,URGENT: Why is my credit card failing to process?,Billing,Medium
TKT-1065,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1066,Please help - Your website is loading very slowly today.,Technical Issue,Medium
TKT-1067,"Hi, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1068,Please help - Your website is loading very slowly today.,Technical Issue,Medium
TKT-1069,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1070,My account has been locked. Please unlock it.,Account,High
TKT-1071,"Hi, The application keeps crashing on my Android phone.",Technical Issue,High
TKT-1072,Can you send me the receipt for order #2193?,Billing,Medium
TKT-1073,"Hi, Can you send me the receipt for order #7291?",Billing,Medium
TKT-1074,I need to add another user to my enterprise plan.,Account,Low
TKT-1075,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1076,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1077,"I love your product, just wanted to say thanks!",General Query,Low
TKT-1078,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1079,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1080,URGENT: The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1081,"Hello, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1082,"Hi, I need to add another user to my enterprise plan.",Account,Low
TKT-1083,"Just wondering, There is an unauthorized charge of $225 on my account.",Billing,High
TKT-1084,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1085,"I love your product, just wanted to say thanks!",General Query,Low
TKT-1086,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1087,I need to add another user to my enterprise plan.,Account,Low
TKT-1088,Please help - Your website is loading very slowly today.,Technical Issue,Medium
TKT-1089,Please help - I was overcharged on my last invoice by $246. Please refund.,Billing,High
TKT-1090,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1091,URGENT: I was overcharged on my last invoice by $51. Please refund.,Billing,High
TKT-1092,"Hi, I was overcharged on my last invoice by $45. Please refund.",Billing,High
TKT-1093,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1094,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1095,URGENT: My account has been locked. Please unlock it.,Account,High
TKT-1096,"Just wondering, API endpoint /v1/users is returning a timeout.",Technical Issue,Medium
TKT-1097,"Just wondering, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1098,My account has been locked. Please unlock it.,Account,High
TKT-1099,I was overcharged on my last invoice by $341. Please refund.,Billing,High
TKT-1100,Why is my credit card failing to process?,Billing,Medium
TKT-1101,Is there a free trial available?,General Query,Low
TKT-1102,Please help - The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1103,"Hello, The application keeps crashing on my Android phone.",Technical Issue,Medium
TKT-1104,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1105,"Just wondering, Why is my credit card failing to process?",Billing,Low
TKT-1106,URGENT: I need to add another user to my enterprise plan.,Account,Low
TKT-1107,"Just wondering, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1108,URGENT: The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1109,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1110,"Just wondering, How do I change my email address?",Account,Low
TKT-1111,URGENT: Do you offer a discount for non-profits?,General Query,Low
TKT-1112,Why is my credit card failing to process?,Billing,Medium
TKT-1113,URGENT: API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1114,Please help - I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1115,Can you send me the receipt for order #7565?,Billing,Low
TKT-1116,Please help - I was overcharged on my last invoice by $425. Please refund.,Billing,High
TKT-1117,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1118,"Hi, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1119,"Hello, What are your business hours?",General Query,Low
TKT-1120,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1121,"Hello, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1122,"Hello, Is there a free trial available?",General Query,Low
TKT-1123,Do you offer a discount for non-profits?,General Query,Medium
TKT-1124,I need to add another user to my enterprise plan.,Account,Low
TKT-1125,"Just wondering, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1126,"Just wondering, There is an unauthorized charge of $231 on my account.",Billing,High
TKT-1127,Please help - Your website is loading very slowly today.,Technical Issue,High
TKT-1128,Please help - Is there a free trial available?,General Query,Low
TKT-1129,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1130,URGENT: There is an unauthorized charge of $493 on my account.,Billing,High
TKT-1131,"Just wondering, There is an unauthorized charge of $405 on my account.",Billing,High
TKT-1132,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1133,URGENT: I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1134,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,Low
TKT-1135,"Hi, There is an unauthorized charge of $91 on my account.",Billing,Medium
TKT-1136,URGENT: API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1137,"Hello, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1138,Do you offer a discount for non-profits?,General Query,Low
TKT-1139,URGENT: The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1140,URGENT: How do I change my email address?,Account,Low
TKT-1141,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1142,URGENT: Where is your company located?,General Query,Low
TKT-1143,I need to add another user to my enterprise plan.,Account,Low
TKT-1144,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1145,"Hello, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1146,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1147,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1148,"Hi, I need to add another user to my enterprise plan.",Account,Low
TKT-1149,"Hi, Why is my credit card failing to process?",Billing,Medium
TKT-1150,"Hi, I need to add another user to my enterprise plan.",Account,Low
TKT-1151,"Hello, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1152,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1153,Please help - API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1154,URGENT: The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1155,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1156,Please help - Can you send me the receipt for order #5097?,Billing,Medium
TKT-1157,I need to add another user to my enterprise plan.,Account,Low
TKT-1158,Is there a free trial available?,General Query,Low
TKT-1159,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1160,"Hello, I love your product, just wanted to say thanks!",General Query,Low
TKT-1161,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1162,URGENT: Your website is loading very slowly today.,Technical Issue,Medium
TKT-1163,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1164,Please help - What are your business hours?,General Query,Low
TKT-1165,"Hello, Do you offer a discount for non-profits?",General Query,Low
TKT-1166,Can you delete my account permanently?,Account,Low
TKT-1167,Can you send me the receipt for order #3024?,Billing,Medium
TKT-1168,"Just wondering, I was overcharged on my last invoice by $205. Please refund.",Billing,High
TKT-1169,Please help - Can you delete my account permanently?,Account,Low
TKT-1170,Do you offer a discount for non-profits?,General Query,Low
TKT-1171,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1172,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1173,I need to add another user to my enterprise plan.,Account,Low
TKT-1174,Why is my credit card failing to process?,Billing,Medium
TKT-1175,Can you delete my account permanently?,Account,Low
TKT-1176,I was overcharged on my last invoice by $151. Please refund.,Billing,High
TKT-1177,"Hello, I was overcharged on my last invoice by $118. Please refund.",Billing,High
TKT-1178,"Hello, Can you delete my account permanently?",Account,Low
TKT-1179,"Hello, The application keeps crashing on my Android phone.",Technical Issue,High
TKT-1180,"Hi, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1181,"Hi, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1182,URGENT: I was overcharged on my last invoice by $225. Please refund.,Billing,High
TKT-1183,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1184,My account has been locked. Please unlock it.,Account,High
TKT-1185,Please help - Can you send me the receipt for order #7580?,Billing,Medium
TKT-1186,"Just wondering, There is an unauthorized charge of $51 on my account.",Billing,High
TKT-1187,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1188,"Just wondering, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1189,Please help - I need to add another user to my enterprise plan.,Account,Low
TKT-1190,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1191,"Hi, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1192,Can you delete my account permanently?,Account,Low
TKT-1193,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1194,What are your business hours?,General Query,Low
TKT-1195,I was overcharged on my last invoice by $256. Please refund.,Billing,High
TKT-1196,Can you send me the receipt for order #4705?,Billing,Medium
TKT-1197,Can you delete my account permanently?,Account,Low
TKT-1198,"Hello, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1199,I forgot my password and the reset link is not working.,Account,Medium
TKT-1200,"Hello, Why is my credit card failing to process?",Billing,Medium
TKT-1201,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1202,I was overcharged on my last invoice by $396. Please refund.,Billing,High
TKT-1203,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1204,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1205,I was overcharged on my last invoice by $212. Please refund.,Billing,High
TKT-1206,Please help - My account has been locked. Please unlock it.,Account,High
TKT-1207,Why is my credit card failing to process?,Billing,Medium
TKT-1208,"Hi, I forgot my password and the reset link is not working.",Account,Medium
TKT-1209,Can you delete my account permanently?,Account,Low
TKT-1210,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1211,Please help - The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1212,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1213,"Just wondering, I was overcharged on my last invoice by $408. Please refund.",Billing,High
TKT-1214,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1215,"Hello, How do I change my email address?",Account,Low
TKT-1216,How do I change my email address?,Account,Low
TKT-1217,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1218,URGENT: I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1219,Please help - My account has been locked. Please unlock it.,Account,High
TKT-1220,I was overcharged on my last invoice by $198. Please refund.,Billing,High
TKT-1221,Can you send me the receipt for order #9307?,Billing,Medium
TKT-1222,I need to add another user to my enterprise plan.,Account,Low
TKT-1223,"Hi, There is an unauthorized charge of $319 on my account.",Billing,High
TKT-1224,"Hello, I forgot my password and the reset link is not working.",Account,Medium
TKT-1225,URGENT: Can you delete my account permanently?,Account,Low
TKT-1226,Your website is loading very slowly today.,Technical Issue,Low
TKT-1227,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1228,URGENT: What are your business hours?,General Query,Low
TKT-1229,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1230,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1231,URGENT: I forgot my password and the reset link is not working.,Account,Medium
TKT-1232,Why is my credit card failing to process?,Billing,Medium
TKT-1233,I was overcharged on my last invoice by $80. Please refund.,Billing,High
TKT-1234,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1235,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1236,I need to add another user to my enterprise plan.,Account,Medium
TKT-1237,Please help - Can you send me the receipt for order #5668?,Billing,Medium
TKT-1238,"URGENT: I love your product, just wanted to say thanks!",General Query,Low
TKT-1239,I need to add another user to my enterprise plan.,Account,Low
TKT-1240,I forgot my password and the reset link is not working.,Account,Medium
TKT-1241,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1242,"Hello, Why is my credit card failing to process?",Billing,Medium
TKT-1243,URGENT: I forgot my password and the reset link is not working.,Account,Medium
TKT-1244,Why is my credit card failing to process?,Billing,High
TKT-1245,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1246,Can you send me the receipt for order #8685?,Billing,Medium
TKT-1247,There is an unauthorized charge of $120 on my account.,Billing,High
TKT-1248,Please help - I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1249,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1250,Please help - Your website is loading very slowly today.,Technical Issue,Medium
TKT-1251,There is an unauthorized charge of $190 on my account.,Billing,High
TKT-1252,There is an unauthorized charge of $194 on my account.,Billing,High
TKT-1253,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1254,I was overcharged on my last invoice by $18. Please refund.,Billing,High
TKT-1255,"Hello, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Low
TKT-1256,I need to add another user to my enterprise plan.,Account,Low
TKT-1257,"Hello, I was overcharged on my last invoice by $407. Please refund.",Billing,High
TKT-1258,Can you delete my account permanently?,Account,Low
TKT-1259,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1260,Please help - I forgot my password and the reset link is not working.,Account,Medium
TKT-1261,Please help - My account has been locked. Please unlock it.,Account,High
TKT-1262,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1263,URGENT: There is an unauthorized charge of $318 on my account.,Billing,High
TKT-1264,Please help - Your website is loading very slowly today.,Technical Issue,Medium
TKT-1265,"Hi, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1266,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1267,"Hello, There is an unauthorized charge of $25 on my account.",Billing,High
TKT-1268,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1269,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1270,"Hi, API endpoint /v1/users is returning a timeout.",Technical Issue,Medium
TKT-1271,There is an unauthorized charge of $105 on my account.,Billing,High
TKT-1272,Please help - Why is my credit card failing to process?,Billing,Medium
TKT-1273,Can you send me the receipt for order #2213?,Billing,Medium
TKT-1274,What are your business hours?,General Query,Low
TKT-1275,Why is my credit card failing to process?,Billing,Medium
TKT-1276,"Just wondering, Why is my credit card failing to process?",Billing,Medium
TKT-1277,Please help - Your website is loading very slowly today.,Technical Issue,Medium
TKT-1278,"Just wondering, I love your product, just wanted to say thanks!",General Query,Low
TKT-1279,Can you send me the receipt for order #2215?,Billing,Medium
TKT-1280,Why is my credit card failing to process?,Billing,Medium
TKT-1281,"Hello, Why is my credit card failing to process?",Billing,Medium
TKT-1282,"Just wondering, The application keeps crashing on my Android phone.",Technical Issue,High
TKT-1283,There is an unauthorized charge of $330 on my account.,Billing,High
TKT-1284,Why is my credit card failing to process?,Billing,Medium
TKT-1285,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,Low
TKT-1286,"Just wondering, There is an unauthorized charge of $117 on my account.",Billing,High
TKT-1287,Can you send me the receipt for order #5949?,Billing,Medium
TKT-1288,Please help - The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1289,URGENT: I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1290,"Please help - I love your product, just wanted to say thanks!",General Query,Low
TKT-1291,Why is my credit card failing to process?,Billing,Medium
TKT-1292,How do I change my email address?,Account,Low
TKT-1293,URGENT: I need to add another user to my enterprise plan.,Account,Low
TKT-1294,"Just wondering, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1295,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1296,URGENT: The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1297,My account has been locked. Please unlock it.,Account,High
TKT-1298,"Just wondering, I was overcharged on my last invoice by $293. Please refund.",Billing,High
TKT-1299,URGENT: Why is my credit card failing to process?,Billing,Medium
TKT-1300,"Hi, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1301,"Just wondering, Can you send me the receipt for order #6456?",Billing,Medium
TKT-1302,Why is my credit card failing to process?,Billing,Medium
TKT-1303,Can you delete my account permanently?,Account,Low
TKT-1304,I forgot my password and the reset link is not working.,Account,Medium
TKT-1305,"Just wondering, Do you offer a discount for non-profits?",General Query,Low
TKT-1306,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1307,"Just wondering, How do I change my email address?",Account,Low
TKT-1308,Please help - Do you offer a discount for non-profits?,General Query,Low
TKT-1309,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1310,Please help - Can you delete my account permanently?,Account,Low
TKT-1311,URGENT: API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1312,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1313,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1314,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1315,I forgot my password and the reset link is not working.,Account,Medium
TKT-1316,"Hi, How do I change my email address?",Account,Low
TKT-1317,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1318,Why is my credit card failing to process?,Billing,Medium
TKT-1319,Please help - Why is my credit card failing to process?,Billing,Medium
TKT-1320,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Low
TKT-1321,Can you send me the receipt for order #8793?,Billing,Medium
TKT-1322,"Hi, I was overcharged on my last invoice by $156. Please refund.",Billing,High
TKT-1323,Please help - Where is your company located?,General Query,Low
TKT-1324,I forgot my password and the reset link is not working.,Account,Low
TKT-1325,Is there a free trial available?,General Query,Low
TKT-1326,"Hi, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1327,URGENT: The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1328,How do I change my email address?,Account,Low
TKT-1329,"Hello, The application keeps crashing on my Android phone.",Technical Issue,Low
TKT-1330,URGENT: The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1331,What are your business hours?,General Query,Low
TKT-1332,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1333,Do you offer a discount for non-profits?,General Query,Low
TKT-1334,"Just wondering, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1335,API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1336,Please help - Can you delete my account permanently?,Account,Low
TKT-1337,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1338,Where is your company located?,General Query,Low
TKT-1339,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1340,"Hi, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1341,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1342,I forgot my password and the reset link is not working.,Account,Medium
TKT-1343,"Hello, API endpoint /v1/users is returning a timeout.",Technical Issue,Medium
TKT-1344,Please help - My account has been locked. Please unlock it.,Account,High
TKT-1345,"Hello, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1346,"Hi, Where is your company located?",General Query,Low
TKT-1347,"Hello, Can you delete my account permanently?",Account,Low
TKT-1348,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1349,Can you delete my account permanently?,Account,Low
TKT-1350,"Hi, I was overcharged on my last invoice by $115. Please refund.",Billing,High
TKT-1351,"Hi, Can you send me the receipt for order #7590?",Billing,Medium
TKT-1352,There is an unauthorized charge of $158 on my account.,Billing,High
TKT-1353,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1354,The application keeps crashing on my Android phone.,Technical Issue,Low
TKT-1355,"I love your product, just wanted to say thanks!",General Query,Low
TKT-1356,"Hello, I love your product, just wanted to say thanks!",General Query,Low
TKT-1357,"Hello, Can you send me the receipt for order #9813?",Billing,Medium
TKT-1358,"Just wondering, Can you delete my account permanently?",Account,Low
TKT-1359,Please help - Why is my credit card failing to process?,Billing,Medium
TKT-1360,How do I change my email address?,Account,Medium
TKT-1361,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1362,"Hi, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1363,Can you send me the receipt for order #2922?,Billing,Medium
TKT-1364,Please help - Can you delete my account permanently?,Account,Low
TKT-1365,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1366,Please help - The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1367,Why is my credit card failing to process?,Billing,Low
TKT-1368,"Just wondering, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1369,Please help - My account has been locked. Please unlock it.,Account,High
TKT-1370,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1371,I was overcharged on my last invoice by $465. Please refund.,Billing,High
TKT-1372,I was overcharged on my last invoice by $428. Please refund.,Billing,High
TKT-1373,"Hi, I was overcharged on my last invoice by $372. Please refund.",Billing,High
TKT-1374,API endpoint /v1/users is returning a timeout.,Technical Issue,Low
TKT-1375,Please help - There is an unauthorized charge of $281 on my account.,Billing,High
TKT-1376,I forgot my password and the reset link is not working.,Account,Medium
TKT-1377,Please help - I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1378,There is an unauthorized charge of $217 on my account.,Billing,High
TKT-1379,Please help - I was overcharged on my last invoice by $433. Please refund.,Billing,Medium
TKT-1380,URGENT: I was overcharged on my last invoice by $14. Please refund.,Billing,High
TKT-1381,"Just wondering, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1382,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1383,I was overcharged on my last invoice by $485. Please refund.,Billing,High
TKT-1384,I forgot my password and the reset link is not working.,Account,Medium
TKT-1385,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1386,"Hi, There is an unauthorized charge of $362 on my account.",Billing,High
TKT-1387,The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1388,The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1389,"Just wondering, Your website is loading very slowly today.",Technical Issue,Medium
TKT-1390,"Hello, I'm getting a 500 internal server error when trying to upload a file.",Technical Issue,Medium
TKT-1391,"Hi, API endpoint /v1/users is returning a timeout.",Technical Issue,Medium
TKT-1392,Please help - What are your business hours?,General Query,Low
TKT-1393,"Just wondering, API endpoint /v1/users is returning a timeout.",Technical Issue,Medium
TKT-1394,"Hi, Can you send me the receipt for order #6315?",Billing,Medium
TKT-1395,Can you delete my account permanently?,Account,Low
TKT-1396,Please help - I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1397,I was overcharged on my last invoice by $163. Please refund.,Billing,High
TKT-1398,Please help - I need to add another user to my enterprise plan.,Account,Low
TKT-1399,"Just wondering, The application keeps crashing on my Android phone.",Technical Issue,High
TKT-1400,Can you send me the receipt for order #4290?,Billing,Medium
TKT-1401,"URGENT: I love your product, just wanted to say thanks!",General Query,Low
TKT-1402,"Just wondering, I forgot my password and the reset link is not working.",Account,Medium
TKT-1403,URGENT: Can you send me the receipt for order #1440?,Billing,Medium
TKT-1404,URGENT: I need to add another user to my enterprise plan.,Account,Low
TKT-1405,Please help - API endpoint /v1/users is returning a timeout.,Technical Issue,Low
TKT-1406,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1407,I forgot my password and the reset link is not working.,Account,Medium
